Datetime,Username,Text,Clean_Text,Preprocess_Text
2022-06-19 23:57:23+00:00,cimonoces,"@devanya__ ciaa udh srpan blm? hr senin nih, srapan dlu yukk biar kuadd 👊🏻💪🏻☝🏻 semangat trus yaa, happy for youu 😚💐",ciaa udh srpan blm hr senin nih srapan dlu yukk biar kuadd semangat trus yaa happy for youu,"['ciaa', 'srpan', 'senin', 'srapan', 'yukk', 'biar', 'kuadd', 'semangat', 'yaa', 'bahagia', 'for', 'youu']"
2022-06-19 23:57:19+00:00,qkdflsh,duh males udh senin lg pft,duh males udh senin lg pft,"['aduh', 'males', 'senin', 'pft']"
2022-06-19 23:57:16+00:00,heyitsazmi,"aduh kak, sudah senin aja.",aduh kak sudah senin aja,"['aduh', 'kak', 'senin']"
2022-06-19 23:57:10+00:00,winnerhoki,Semoga bukan senin yg buruk,semoga bukan senin yg buruk,"['moga', 'senin', 'buruk']"
2022-06-19 23:57:09+00:00,mr99zack,@sherpa701 Senin ceria 🤗,senin ceria,"['senin', 'ceria']"
2022-06-19 23:57:03+00:00,rierajacquie,"@kumisaster Selamat hari senin kumissssss 🖤

Aka selamat bekerja keras lagi 🥲",selamat hari senin kumissssss aka selamat bekerja keras lagi,"['selamat', 'senin', 'kumissssss', 'kenal juga bagai', 'selamat', 'keras']"
2022-06-19 23:57:02+00:00,kumparan,"Indeks Harga Saham Gabungan (IHSG) diprediksi melemah pada perdagangan di awal pekan ini, Senin (20/6). Pada pekan lalu, IHSG ditutup melemah 1,61 persen di level 6,936.96. https://t.co/WvPxhFAkhW",indeks harga saham gabungan ihsg diprediksi melemah pada perdagangan di awal pekan ini senin pada pekan lalu ihsg ditutup melemah persen di level,"['indeks', 'harga', 'saham', 'gabung', 'ihsg', 'prediksi', 'lemah', 'dagang', 'pekan', 'senin', 'pekan', 'ihsg', 'tutup', 'lemah', 'persen', 'level']"
2022-06-19 23:57:01+00:00,8hyunee,udh senin lg 🙃🙃,udh senin lg,['senin']
2022-06-19 23:57:00+00:00,leeahn_ian,Mood banget liat ginian di hari senin 🤣😍 https://t.co/XTqRGA6E2W,mood banget liat ginian di hari senin,"['mood', 'banget', 'lihat', 'ginian', 'senin']"
2022-06-19 23:56:59+00:00,AuliyaHasanah01,"@l0velyfiee Semangat hari Senin,jangan lupa sarapan ya, have a nice day ❤️",semangat hari seninjangan lupa sarapan ya have a nice day,"['semangat', 'seninjangan', 'lupa', 'sarap', 'iya', 'have', 'a', 'nice', 'day']"
